Un_ID,Timepoint,Block_plot,Herbivory_trt,Coral_Id,Coral_Genus,Enrichment_trt,Size,Recruitment,Alive,Recruitment_timepoint
B1_2X2_P15,T6,B1,2X2,P15,Pocillopora,Enriched,1.498,0,1,T0
B1_2X2_P15,T0,B1,2X2,P15,Pocillopora,Enriched,NA,1,1,T0
B1_2X2_P15,T9,B1,2X2,P15,Pocillopora,Enriched,4.202,0,1,T0
B1_2X2_P18,T9,B1,2X2,P18,Pocillopora,Enriched,2.985,1,1,T9
B1_2X2_P02,T3,B1,2X2,P02,Pocillopora,Enriched,2.591,1,1,T3
B1_2X2_P02,T6,B1,2X2,P02,Pocillopora,Enriched,3.552,0,1,T3
B1_2X2_P02,T9,B1,2X2,P02,Pocillopora,Enriched,5.556,0,1,T3
B1_2X2_P03,T3,B1,2X2,P03,Pocillopora,Enriched,3.13,1,1,T3
B1_2X2_P03,T6,B1,2X2,P03,Pocillopora,Enriched,4.982,0,1,T3
B1_2X2_P03,T9,B1,2X2,P03,Pocillopora,Enriched,8.042,0,1,T3
B1_3X3_P01,T6,B1,3X3,P01,Pocillopora,Enriched,6.696,0,1,T3
B1_3X3_P01,T9,B1,3X3,P01,Pocillopora,Enriched,10.029,0,1,T3
B1_3X3_P01,T3,B1,3X3,P01,Pocillopora,Enriched,4.917,1,1,T3
B1_3X3_P10,T6,B1,3X3,P10,Pocillopora,Enriched,3.158,0,1,T3
B1_3X3_P10,T9,B1,3X3,P10,Pocillopora,Enriched,4.783,0,1,T3
B1_3X3_P10,T3,B1,3X3,P10,Pocillopora,Enriched,1.384,1,1,T3
B1_3X3_P11,T6,B1,3X3,P11,Pocillopora,Enriched,1.644,0,1,T3
B1_3X3_P11,T9,B1,3X3,P11,Pocillopora,Enriched,2.173,0,1,T3
B1_3X3_P11,T3,B1,3X3,P11,Pocillopora,Enriched,1.808,1,1,T3
B1_3X3_P13,T6,B1,3X3,P13,Pocillopora,Enriched,2.494,0,1,T3
B1_3X3_P13,T9,B1,3X3,P13,Pocillopora,Enriched,2.364,0,1,T3
B1_3X3_P13,T3,B1,3X3,P13,Pocillopora,Enriched,2.144,1,1,T3
B1_3X3_P15,T6,B1,3X3,P15,Pocillopora,Enriched,1.998,0,1,T3
B1_3X3_P15,T9,B1,3X3,P15,Pocillopora,Enriched,2.899,0,1,T3
B1_3X3_P15,T3,B1,3X3,P15,Pocillopora,Enriched,1.787,0,1,T3
B1_3X3_P16,T6,B1,3X3,P16,Pocillopora,Enriched,3.038,1,1,T6
B1_3X3_P16,T9,B1,3X3,P16,Pocillopora,Enriched,NA,0,1,T6
B1_3X3_P17,T6,B1,3X3,P17,Pocillopora,Enriched,4.255,1,1,T6
B1_3X3_P17,T9,B1,3X3,P17,Pocillopora,Enriched,NA,0,1,T6
B1_3X3_P18B,T9,B1,3X3,P18B,Pocillopora,Enriched,3.209,0,1,T6
