Un_ID,Timepoint,Un_id_tp,Block_plot,Herbivory_trt,Coral_Id,Coral_genus,Enrichment_trt,Recruitment,Alive,Notes1,Rec_timepoint
A4_1X1_P29,T9,A4_1X1_P29_T9,A4,1X1,P29,Pocillopora,Ambient,1,1,"is pretty big, grew out from under ledge, likely recruited a while ago",T9
A4_1X1_P03,T9,A4_1X1_P3_T9,A4,1X1,P03,Pocillopora,Ambient,0,1,,T3
A4_1X1_P03,T3,A4_1X1_P3_T3,A4,1X1,P03,Pocillopora,Ambient,1,1,no T3 photomosaic. data from T2,T3
A4_1X1_P03,T6,A4_1X1_P3_T6,A4,1X1,P03,Pocillopora,Ambient,0,1,,T3
A4_1X1_P04,T3,A4_1X1_P4_T3,A4,1X1,P04,Pocillopora,Ambient,1,1,no T3 photomosaic. data from T2,T3
A4_1X1_P04,T9,A4_1X1_P4_T9,A4,1X1,P04,Pocillopora,Ambient,0,0,it's circled and difficult to see but i think it's dead. it's dead at t10,T3
A4_1X1_P04,T6,A4_1X1_P4_T6,A4,1X1,P04,Pocillopora,Ambient,0,1,,T3
A4_1X1_P40,T3,A4_1X1_P40_T3,A4,1X1,P40,Pocillopora,Ambient,1,1,no T3 photomosaic. data from T2,T3
A4_1X1_P40,T3,A4_1X1_P40_T3,A4,1X1,P40,Pocillopora,Ambient,0,0,,T3
A4_1X1_P41,T3,A4_1X1_P41_T3,A4,1X1,P41,Pocillopora,Ambient,0,0,,T3
A4_1X1_P41,T3,A4_1X1_P41_T3,A4,1X1,P41,Pocillopora,Ambient,1,1,no T3 photomosaic. data from T2,T3
A4_1X1_P42,T3,A4_1X1_P42_T3,A4,1X1,P42,Pocillopora,Ambient,0,0,,T3
A4_1X1_P42,T3,A4_1X1_P42_T3,A4,1X1,P42,Pocillopora,Ambient,1,1,no T3 photomosaic. data from T2,T3
A4_1X1_P43,T3,A4_1X1_P43_T3,A4,1X1,P43,Pocillopora,Ambient,0,0,,T3
A4_1X1_P43,T3,A4_1X1_P43_T3,A4,1X1,P43,Pocillopora,Ambient,1,1,no T3 photomosaic. data from T2,T3
A4_1X1_P44,T3,A4_1X1_P44_T3,A4,1X1,P44,Pocillopora,Ambient,1,1,no T3 photomosaic. data from T2,T3
A4_1X1_P44,T3,A4_1X1_P44_T3,A4,1X1,P44,Pocillopora,Ambient,0,0,,T3
A4_1X1_P45,T3,A4_1X1_P45_T3,A4,1X1,P45,Pocillopora,Ambient,1,1,no T3 photomosaic. data from T2,T3
A4_1X1_P45,T3,A4_1X1_P45_T3,A4,1X1,P45,Pocillopora,Ambient,0,0,,T3
A4_1X1_P46,T3,A4_1X1_P46_T3,A4,1X1,P46,Pocillopora,Ambient,0,0,,T3
A4_1X1_P46,T3,A4_1X1_P46_T3,A4,1X1,P46,Pocillopora,Ambient,1,1,no T3 photomosaic. data from T2,T3
A4_1X1_P47,T3,A4_1X1_P47_T3,A4,1X1,P47,Pocillopora,Ambient,0,0,,T3
A4_1X1_P47,T3,A4_1X1_P47_T3,A4,1X1,P47,Pocillopora,Ambient,1,1,no T3 photomosaic. data from T2,T3
A4_1X1_P48,T3,A4_1X1_P48_T3,A4,1X1,P48,Pocillopora,Ambient,1,1,no T3 photomosaic. data from T2,T3
A4_1X1_P48,T3,A4_1X1_P48_T3,A4,1X1,P48,Pocillopora,Ambient,0,0,,T3
A4_1X1_P05,T9,A4_1X1_P5_T9,A4,1X1,P05,Pocillopora,Ambient,0,1,,T3
A4_1X1_P05,T3,A4_1X1_P5_T3,A4,1X1,P05,Pocillopora,Ambient,1,1,no T3 photomosaic. data from T2,T3
A4_1X1_P05,T6,A4_1X1_P5_T6,A4,1X1,P05,Pocillopora,Ambient,0,1,,T3
A4_1X1_P06,T9,A4_1X1_P6_T9,A4,1X1,P06,Pocillopora,Ambient,0,0,,T6
A4_1X1_P06,T6,A4_1X1_P6_T6,A4,1X1,P06,Pocillopora,Ambient,1,1,,T6
A4_1X1_P07,T3,A4_1X1_P7_T3,A4,1X1,P07,Pocillopora,Ambient,1,1,no T3 photomosaic. data from T2,T3
A4_1X1_P07,T9,A4_1X1_P7_T9,A4,1X1,P07,Pocillopora,Ambient,0,0,,T3
A4_1X1_P07,T6,A4_1X1_P7_T6,A4,1X1,P07,Pocillopora,Ambient,0,1,,T3
A4_1X1_P08,T3,A4_1X1_P8_T3,A4,1X1,P08,Pocillopora,Ambient,0,1,no T3 photomosaic. data from T2,T0
A4_1X1_P08,T0,A4_1X1_P8_T0,A4,1X1,P08,Pocillopora,Ambient,1,1,0,T0
A4_1X1_P08,T6,A4_1X1_P8_T6,A4,1X1,P08,Pocillopora,Ambient,0,1,,T0
A4_1X1_P08,T9,A4_1X1_P8_T9,A4,1X1,P08,Pocillopora,Ambient,0,1,,T0
A4_1X1_P09,T9,A4_1X1_P9_T9,A4,1X1,P09,Pocillopora,Ambient,0,1,,T3
A4_1X1_P09,T6,A4_1X1_P9_T6,A4,1X1,P09,Pocillopora,Ambient,0,1,,T3
A4_1X1_P09,T3,A4_1X1_P9_T3,A4,1X1,P09,Pocillopora,Ambient,1,1,no T3 photomosaic. data from T2,T3
A4_2X2_P01,T6,A4_2X2_P1_T6,A4,2X2,P01,Pocillopora,Ambient,0,1,also turbinaria,T0
A4_2X2_P01,T3,A4_2X2_P1_T3,A4,2X2,P01,Pocillopora,Ambient,1,1,,T0
A4_2X2_P01,T9,A4_2X2_P1_T9,A4,2X2,P01,Pocillopora,Ambient,0,1,,T0
A4_2X2_P01,T0,A4_2X2_P1_T0,A4,2X2,P01,Pocillopora,Ambient,1,1,0,T0
A4_2X2_P10,T6,A4_2X2_P10_T6,A4,2X2,P10,Pocillopora,Ambient,0,1,,T3
A4_2X2_P10,T3,A4_2X2_P10_T3,A4,2X2,P10,Pocillopora,Ambient,1,1,,T3
A4_2X2_P10,T9,A4_2X2_P10_T9,A4,2X2,P10,Pocillopora,Ambient,0,0,,T3
A4_2X2_P11,T3,A4_2X2_P11_T3,A4,2X2,P11,Pocillopora,Ambient,1,1,,T3
